step,value,wall_time
1,0.04858607053756714,1765051039.1407893
2,0.0,1765051052.720968
3,0.0012019991409033537,1765051066.4442728
4,0.01897893287241459,1765051080.2422626
5,0.05402669683098793,1765051093.989583
6,0.03125197812914848,1765051107.3162606
7,0.16283924877643585,1765051120.817312
8,0.35541215538978577,1765051136.0433524
9,0.1703042984008789,1765051150.8049283
10,0.2645663321018219,1765051167.7747445
11,0.3514265716075897,1765051181.8381805
12,0.30967292189598083,1765051195.0237741
13,0.260390967130661,1765051209.6135273
14,0.38444992899894714,1765051224.0326219
15,0.36945655941963196,1765051238.564751
16,0.4046308696269989,1765051252.2476468
17,0.34813690185546875,1765051265.014936
18,0.5539950728416443,1765051277.7585769
19,0.37774404883384705,1765051290.517072
20,0.5305244326591492,1765051391.824451
21,0.290693998336792,1765051406.4768765
22,0.5773391723632812,1765051421.697913
23,0.5969507098197937,1765051437.2965674
24,0.6251660585403442,1765051452.4714527
25,0.5879040956497192,1765051466.2360969
26,0.630163848400116,1765051480.3333063
27,0.3584487736225128,1765051494.107396
28,0.44170305132865906,1765051507.6322308
29,0.528942883014679,1765051521.8510046
30,0.5620927214622498,1765051536.0106385
31,0.5285633206367493,1765051550.0353367
32,0.5541848540306091,1765051563.889386
33,0.4957297444343567,1765051578.6698055
34,0.5567153692245483,1765051596.0368984
35,0.4689694344997406,1765051612.1733935
36,0.3721768856048584,1765051626.55944
37,0.2725374698638916,1765051641.5469334
38,0.36604034900665283,1765051656.2252214
39,0.282469779253006,1765051670.5724788
40,0.3562978506088257,1765051780.8314579
41,0.4087429642677307,1765051793.8929763
42,0.45448219776153564,1765051806.8581166
43,0.5833491683006287,1765051819.779837
44,0.6018852591514587,1765051832.6280427
45,0.6204845905303955,1765051845.9269743
46,0.36148542165756226,1765051858.675685
47,0.4606819748878479,1765051872.4244468
48,0.5931549072265625,1765051886.5628042
49,0.5520972013473511,1765051900.4659975
50,0.3986208736896515,1765051916.2094584
51,0.5269184708595276,1765051932.0243518
52,0.4043145477771759,1765051945.449704
53,0.5913835763931274,1765051958.8539886
54,0.4928829073905945,1765051972.2708895
55,0.5223634839057922,1765051985.8332388
56,0.5704434514045715,1765051999.8957434
57,0.5688619017601013,1765052014.3725717
58,0.5335610508918762,1765052029.6604726
59,0.482887327671051,1765052043.2915418
60,0.3517428934574127,1765052149.1958418
61,0.475295752286911,1765052163.8007722
62,0.4428417682647705,1765052178.5512125
63,0.4287973642349243,1765052191.5968175
64,0.46688175201416016,1765052204.7408843
65,0.580755352973938,1765052217.6738951
66,0.3693300485610962,1765052230.4508643
67,0.46751439571380615,1765052243.7512772
68,0.46175745129585266,1765052256.6258817
69,0.5871449112892151,1765052269.878839
70,0.43025243282318115,1765052282.963251
71,0.5298285484313965,1765052296.4193628
72,0.3785664439201355,1765052309.654888
73,0.46915924549102783,1765052322.921704
74,0.42006707191467285,1765052336.0720634
75,0.3266907036304474,1765052349.08516
76,0.44271525740623474,1765052362.6103518
77,0.5038906931877136,1765052375.678098
78,0.2855064272880554,1765052389.0331411
79,0.4098184406757355,1765052402.4526823
80,0.3374454379081726,1765052507.9446986
81,0.437084823846817,1765052522.1544788
82,0.41247549653053284,1765052536.393617
83,0.4259505271911621,1765052549.5247831
84,0.3645220398902893,1765052562.7902894
85,0.5107863545417786,1765052576.1584592
86,0.48883405327796936,1765052589.9138749
87,0.381350040435791,1765052603.6798937
88,0.4854811131954193,1765052617.5393364
89,0.43721136450767517,1765052631.5077412
90,0.3820459246635437,1765052646.1968129
91,0.5204023718833923,1765052661.1761386
92,0.4074777066707611,1765052676.2527893
93,0.3657872974872589,1765052690.2292309
94,0.5581704378128052,1765052704.290674
95,0.5490605235099792,1765052717.8663173
96,0.4010881185531616,1765052731.055478
97,0.41431012749671936,1765052744.090848
98,0.5219839215278625,1765052757.894518
99,0.44973745942115784,1765052771.6209607
100,0.4421458840370178,1765052877.652753
101,0.41525906324386597,1765052891.2417252
102,0.40962865948677063,1765052905.057757
103,0.42993611097335815,1765052918.1978965
104,0.23546530306339264,1765052931.8582132
105,0.249003604054451,1765052945.0763185
106,0.3040425181388855,1765052958.776351
107,0.13841968774795532,1765052972.9375856
108,0.3266274333000183,1765052987.5667734
109,0.24413233995437622,1765053002.373981
110,0.17523881793022156,1765053016.076481
111,0.24444866180419922,1765053029.808528
112,0.2721579074859619,1765053043.4964716
113,0.2712089717388153,1765053056.8998067
114,0.3107483983039856,1765053070.585266
115,0.24982602894306183,1765053084.0583858
116,0.1904219686985016,1765053097.246533
117,0.13652180135250092,1765053111.6851969
118,0.0955272987484932,1765053127.6565232
119,0.199911430478096,1765053143.1722624
120,0.2012399584054947,1765053249.6724188
121,0.1518314629793167,1765053263.1852095
122,0.20332764089107513,1765053276.3908272
123,0.08679699152708054,1765053290.027718
124,0.18725880980491638,1765053304.8061798
125,0.12589359283447266,1765053318.7092118
126,0.07585246860980988,1765053332.1482112
127,0.0483962818980217,1765053345.691833
128,0.10141076892614365,1765053359.0986438
129,0.07167710363864899,1765053372.7430668
130,0.03479471057653427,1765053386.1882055
131,0.07357499748468399,1765053399.4595664
132,0.04403112456202507,1765053412.6569033
133,0.07237300276756287,1765053427.1038418
134,0.1413297951221466,1765053440.573749
135,0.16347187757492065,1765053453.4430997
136,0.09913329780101776,1765053467.098432
137,0.10330866277217865,1765053480.4409013
138,0.14733979105949402,1765053493.7288322
139,0.17466944456100464,1765053507.4352624
140,0.14626431465148926,1765053609.960671
141,0.16669829189777374,1765053623.4239485
142,0.11475928127765656,1765053637.4000545
143,0.10609223693609238,1765053652.0414982
144,0.09755171835422516,1765053668.2839205
145,0.1884608119726181,1765053682.5935078
146,0.13228316605091095,1765053695.836319
147,0.2021256387233734,1765053709.1913114
148,0.16182704269886017,1765053722.2363591
149,0.11963054537773132,1765053735.4768784
150,0.22977161407470703,1765053748.459811
151,0.12216106802225113,1765053761.6309383
152,0.14563168585300446,1765053774.6527998
153,0.07142405211925507,1765053787.8789985
154,0.08407667279243469,1765053800.7084923
155,0.08508888632059097,1765053813.934269
156,0.11248181015253067,1765053827.214685
157,0.07047510892152786,1765053840.039288
158,0.10526981949806213,1765053854.0829556
159,0.0397924967110157,1765053868.1877527
160,0.10672486573457718,1765053975.9482317
161,0.07439742237329483,1765053989.007802
162,0.09976592659950256,1765054004.151082
163,0.07401783764362335,1765054018.298065
164,0.05750616639852524,1765054032.4230628
165,0.0872398316860199,1765054047.0219276
166,0.08319099247455597,1765054061.722706
167,0.13411779701709747,1765054076.0555024
168,0.09464161098003387,1765054090.310251
169,0.07762383669614792,1765054104.385761
170,0.09907003492116928,1765054117.6138308
171,0.09938634932041168,1765054131.4763336
172,0.07439742237329483,1765054145.6334336
173,0.1162143349647522,1765054159.2151952
174,0.05497564375400543,1765054172.3988388
175,0.07028532028198242,1765054185.8725033
176,0.11368381232023239,1765054199.5655353
177,0.0955272987484932,1765054214.678079
178,0.0595305860042572,1765054228.8341076
179,0.05352059379220009,1765054242.832559
180,0.05434301123023033,1765054347.7769818
181,0.12393243610858917,1765054361.8944335
182,0.11564496904611588,1765054375.7066078
183,0.094262033700943,1765054389.3894684
184,0.10830644518136978,1765054403.1097631
185,0.11583475768566132,1765054417.2093365
186,0.1426583230495453,1765054431.8270855
187,0.11912443488836288,1765054445.7790835
188,0.19719111919403076,1765054460.6783133
189,0.07224646955728531,1765054474.668082
190,0.07465047389268875,1765054487.8239863
191,0.05851837620139122,1765054500.9753628
192,0.07249952852725983,1765054514.9327981
193,0.07287910580635071,1765054528.3358545
194,0.07775036245584488,1765054542.9440484
195,0.06503447890281677,1765054556.9479158
196,0.09375593066215515,1765054571.7398
197,0.20415006577968597,1765054586.8195853
198,0.16530650854110718,1765054601.249563
199,0.16922882199287415,1765054614.5736804
200,0.15208451449871063,1765054728.1025007
201,0.17884480953216553,1765054742.2645047
202,0.1859302818775177,1765054757.0961964
203,0.0910356193780899,1765054771.882283
204,0.16733093559741974,1765054785.5781949
205,0.08255836367607117,1765054800.2495131
206,0.23363067209720612,1765054814.4727879
207,0.16340862214565277,1765054828.9760926
208,0.11823875457048416,1765054843.8598404
209,0.07933194190263748,1765054858.6918747
210,0.2872145175933838,1765054873.0785403
211,0.14246852695941925,1765054889.0591774
212,0.10893907397985458,1765054903.601933
213,0.21477825939655304,1765054918.1424217
214,0.20762953162193298,1765054932.0901291
215,0.16385145485401154,1765054946.4500582
216,0.19282595813274384,1765054960.6466773
217,0.14126652479171753,1765054974.3354123
218,0.17327766120433807,1765054987.9424226
219,0.12405896186828613,1765055001.6251717
220,0.14658062160015106,1765055110.7671964
221,0.22559624910354614,1765055124.5243979
222,0.12456506490707397,1765055138.6178362
223,0.15866388380527496,1765055152.6401064
